[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.14,          3.50,       0.95,       9.53,     33.37,          0.23
       -9,          1,    2,        -14.90,          3.50,       1.07,      10.69,     37.46,          0.26
       -9,          1,    3,        -13.70,          3.50,       1.16,      11.63,     40.76,          0.27
       -9,          1,    4,        -13.19,          3.50,       1.24,      12.41,     43.49,          0.26
       -9,          1,    5,        -12.85,          3.50,       1.32,      13.22,     46.33,          0.24
       -9,          1,    6,        -12.59,          3.50,       1.39,      13.91,     48.74,          0.23
       -9,          1,    7,        -12.35,          3.50,       1.47,      14.73,     51.60,          0.22
       -9,          2,    1,        -16.52,          3.50,       0.97,       9.68,     33.91,          0.25
       -9,          2,    2,        -14.13,          3.50,       1.09,      10.93,     38.29,          0.29
       -9,          2,    3,        -13.21,          3.50,       1.19,      11.93,     41.80,          0.28
       -9,          2,    4,        -12.67,          3.50,       1.28,      12.81,     44.89,          0.27
       -9,          2,    5,        -12.26,          3.50,       1.36,      13.63,     47.76,          0.26
       -9,          2,    6,        -11.95,          3.50,       1.44,      14.44,     50.59,          0.25
       -9,          2,    7,        -11.68,          3.50,       1.52,      15.22,     53.34,          0.24
       -9,          3,    1,        -15.97,          3.50,       0.99,       9.92,     34.76,          0.26
       -9,          3,    2,        -13.53,          3.50,       1.13,      11.34,     39.73,          0.30
       -9,          3,    3,        -12.50,          3.50,       1.24,      12.42,     43.50,          0.30
       -9,          3,    4,        -11.86,          3.50,       1.34,      13.43,     47.07,          0.29
       -9,          3,    5,        -11.38,          3.50,       1.44,      14.40,     50.44,          0.28
       -9,          3,    6,        -11.03,          3.50,       1.53,      15.24,     53.40,          0.28
       -9,          3,    7,        -10.73,          3.50,       1.61,      16.09,     56.36,          0.27
       -9,          4,    1,        -15.51,          3.50,       1.02,      10.18,     35.68,          0.26
       -9,          4,    2,        -12.98,          3.50,       1.18,      11.80,     41.35,          0.30
       -9,          4,    3,        -11.89,          3.50,       1.30,      13.05,     45.72,          0.31
       -9,          4,    4,        -11.20,          3.50,       1.41,      14.10,     49.42,          0.31
       -9,          4,    5,        -10.77,          3.50,       1.51,      15.08,     52.84,          0.30
       -9,          4,    6,        -10.45,          3.50,       1.59,      15.95,     55.91,          0.29
       -9,          4,    7,        -10.20,          3.50,       1.68,      16.76,     58.73,          0.28
       -8,          1,    1,        -15.86,          3.50,       0.98,       9.76,     34.20,          0.28
       -8,          1,    2,        -13.54,          3.50,       1.11,      11.11,     38.92,          0.32
       -8,          1,    3,        -12.46,          3.50,       1.20,      12.01,     42.09,          0.33
       -8,          1,    4,        -12.22,          3.50,       1.29,      12.87,     45.07,          0.30
       -8,          1,    5,        -11.65,          3.50,       1.36,      13.62,     47.72,          0.30
       -8,          1,    6,        -11.60,          3.50,       1.44,      14.38,     50.38,          0.27
       -8,          1,    7,        -11.45,          3.50,       1.51,      15.14,     53.04,          0.26
       -8,          2,    1,        -15.24,          3.50,       1.00,      10.00,     35.03,          0.29
       -8,          2,    2,        -12.85,          3.50,       1.14,      11.36,     39.79,          0.35
       -8,          2,    3,        -11.96,          3.50,       1.23,      12.35,     43.27,          0.35
       -8,          2,    4,        -11.44,          3.50,       1.33,      13.29,     46.55,          0.33
       -8,          2,    5,        -11.04,          3.50,       1.41,      14.13,     49.50,          0.32
       -8,          2,    6,        -10.75,          3.50,       1.50,      14.98,     52.47,          0.31
       -8,          2,    7,        -10.48,          3.50,       1.58,      15.75,     55.17,          0.30
       -8,          3,    1,        -14.70,          3.50,       1.02,      10.26,     35.94,          0.30
       -8,          3,    2,        -12.26,          3.50,       1.18,      11.79,     41.29,          0.36
       -8,          3,    3,        -11.25,          3.50,       1.30,      12.99,     45.51,          0.36
       -8,          3,    4,        -10.62,          3.50,       1.40,      13.98,     48.99,          0.36
       -8,          3,    5,        -10.16,          3.50,       1.50,      15.02,     52.61,          0.35
       -8,          3,    6,         -9.81,          3.50,       1.59,      15.88,     55.64,          0.34
       -8,          3,    7,         -9.63,          3.50,       1.67,      16.74,     58.64,          0.32
       -8,          4,    1,        -14.49,          3.50,       1.05,      10.53,     36.88,          0.29
       -8,          4,    2,        -11.70,          3.50,       1.23,      12.31,     43.14,          0.37
       -8,          4,    3,        -10.83,          3.50,       1.37,      13.66,     47.85,          0.36
       -8,          4,    4,         -9.98,          3.50,       1.48,      14.82,     51.91,          0.37
       -8,          4,    5,         -9.52,          3.50,       1.58,      15.82,     55.43,          0.36
       -8,          4,    6,         -9.22,          3.50,       1.67,      16.69,     58.48,          0.35
       -8,          4,    7,         -8.98,          3.50,       1.75,      17.52,     61.40,          0.34
       -7,          1,    1,        -14.79,          3.50,       1.01,      10.04,     35.18,          0.32
       -7,          1,    2,        -12.26,          3.50,       1.15,      11.46,     40.15,          0.39
       -7,          1,    3,        -11.41,          3.50,       1.24,      12.39,     43.41,          0.39
       -7,          1,    4,        -10.94,          3.50,       1.32,      13.24,     46.41,          0.37
       -7,          1,    5,        -10.62,          3.50,       1.40,      14.06,     49.27,          0.36
       -7,          1,    6,        -10.39,          3.50,       1.48,      14.80,     51.86,          0.34
       -7,          1,    7,        -10.19,          3.50,       1.56,      15.56,     54.54,          0.32
       -7,          2,    1,        -14.15,          3.50,       1.03,      10.31,     36.13,          0.34
       -7,          2,    2,        -11.83,          3.50,       1.17,      11.73,     41.11,          0.40
       -7,          2,    3,        -11.07,          3.50,       1.28,      12.81,     44.89,          0.39
       -7,          2,    4,        -10.62,          3.50,       1.37,      13.70,     47.98,          0.38
       -7,          2,    5,        -10.27,          3.50,       1.46,      14.64,     51.30,          0.36
       -7,          2,    6,         -9.95,          3.50,       1.55,      15.45,     54.14,          0.35
       -7,          2,    7,         -9.45,          3.50,       1.63,      16.29,     57.06,          0.35
       -7,          3,    1,        -13.59,          3.50,       1.06,      10.57,     37.04,          0.36
       -7,          3,    2,        -11.17,          3.50,       1.22,      12.23,     42.84,          0.42
       -7,          3,    3,        -10.17,          3.50,       1.35,      13.47,     47.22,          0.43
       -7,          3,    4,         -9.55,          3.50,       1.46,      14.59,     51.13,          0.42
       -7,          3,    5,         -9.10,          3.50,       1.56,      15.56,     54.52,          0.41
       -7,          3,    6,         -8.76,          3.50,       1.65,      16.51,     57.85,          0.40
       -7,          3,    7,         -8.49,          3.50,       1.74,      17.36,     60.84,          0.39
