[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.08,          3.50,       0.95,       9.49,     33.27,          0.23
       -9,          1,    2,        -14.57,          3.50,       1.07,      10.65,     37.31,          0.28
       -9,          1,    3,        -13.68,          3.50,       1.16,      11.60,     40.63,          0.27
       -9,          1,    4,        -13.17,          3.50,       1.24,      12.38,     43.38,          0.26
       -9,          1,    5,        -12.84,          3.50,       1.32,      13.17,     46.15,          0.24
       -9,          1,    6,        -12.59,          3.50,       1.39,      13.89,     48.65,          0.23
       -9,          1,    7,        -12.33,          3.50,       1.47,      14.66,     51.35,          0.22
       -9,          2,    1,        -16.48,          3.50,       0.97,       9.67,     33.88,          0.25
       -9,          2,    2,        -14.10,          3.50,       1.09,      10.90,     38.19,          0.29
       -9,          2,    3,        -13.20,          3.50,       1.19,      11.88,     41.64,          0.28
       -9,          2,    4,        -12.65,          3.50,       1.28,      12.76,     44.72,          0.27
       -9,          2,    5,        -12.24,          3.50,       1.36,      13.60,     47.64,          0.26
       -9,          2,    6,        -11.94,          3.50,       1.44,      14.41,     50.48,          0.25
       -9,          2,    7,        -11.66,          3.50,       1.52,      15.22,     53.33,          0.24
       -9,          3,    1,        -15.93,          3.50,       0.99,       9.91,     34.73,          0.26
       -9,          3,    2,        -13.51,          3.50,       1.13,      11.31,     39.62,          0.30
       -9,          3,    3,        -12.49,          3.50,       1.24,      12.43,     43.54,          0.30
       -9,          3,    4,        -11.85,          3.50,       1.34,      13.41,     46.96,          0.29
       -9,          3,    5,        -11.72,          3.50,       1.44,      14.33,     50.19,          0.26
       -9,          3,    6,        -11.38,          3.50,       1.52,      15.24,     53.39,          0.25
       -9,          3,    7,        -11.06,          3.50,       1.61,      16.04,     56.19,          0.25
       -9,          4,    1,        -15.84,          3.50,       1.02,      10.14,     35.54,          0.24
