[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.23,          3.50,       0.95,       9.53,     33.38,          0.22
       -9,          1,    2,        -14.52,          3.50,       1.07,      10.71,     37.54,          0.28
       -9,          1,    3,        -13.62,          3.50,       1.17,      11.65,     40.82,          0.27
       -9,          1,    4,        -13.12,          3.50,       1.24,      12.42,     43.53,          0.26
       -9,          1,    5,        -12.77,          3.50,       1.32,      13.23,     46.35,          0.25
       -9,          1,    6,        -12.51,          3.50,       1.39,      13.92,     48.78,          0.24
       -9,          1,    7,        -12.55,          3.50,       1.47,      14.71,     51.53,          0.21
       -9,          2,    1,        -16.45,          3.50,       0.97,       9.73,     34.08,          0.25
       -9,          2,    2,        -14.06,          3.50,       1.09,      10.94,     38.34,          0.29
       -9,          2,    3,        -13.14,          3.50,       1.19,      11.93,     41.81,          0.29
       -9,          2,    4,        -12.60,          3.50,       1.28,      12.81,     44.88,          0.28
       -9,          2,    5,        -12.18,          3.50,       1.36,      13.64,     47.79,          0.26
       -9,          2,    6,        -11.88,          3.50,       1.45,      14.47,     50.71,          0.25
       -9,          2,    7,        -11.60,          3.50,       1.53,      15.24,     53.38,          0.24
       -9,          3,    1,        -15.90,          3.50,       0.99,       9.94,     34.84,          0.26
       -9,          3,    2,        -13.46,          3.50,       1.14,      11.37,     39.85,          0.30
       -9,          3,    3,        -12.44,          3.50,       1.25,      12.44,     43.59,          0.30
       -9,          3,    4,        -11.79,          3.50,       1.35,      13.46,     47.18,          0.30
       -9,          3,    5,        -11.31,          3.50,       1.44,      14.41,     50.50,          0.29
       -9,          3,    6,        -10.96,          3.50,       1.53,      15.27,     53.49,          0.28
       -9,          3,    7,        -10.66,          3.50,       1.61,      16.10,     56.40,          0.27
       -9,          4,    1,        -15.45,          3.50,       1.02,      10.17,     35.62,          0.26
       -9,          4,    2,        -12.91,          3.50,       1.18,      11.79,     41.32,          0.31
       -9,          4,    3,        -11.82,          3.50,       1.31,      13.06,     45.78,          0.31
       -9,          4,    4,        -11.14,          3.50,       1.41,      14.11,     49.46,          0.31
       -9,          4,    5,        -10.70,          3.50,       1.51,      15.10,     52.89,          0.30
       -9,          4,    6,        -10.38,          3.50,       1.60,      15.97,     55.96,          0.29
       -9,          4,    7,        -10.32,          3.50,       1.68,      16.78,     58.80,          0.27
       -8,          1,    1,        -15.79,          3.50,       0.98,       9.80,     34.34,          0.28
       -8,          1,    2,        -13.26,          3.50,       1.11,      11.11,     38.91,          0.34
       -8,          1,    3,        -12.60,          3.50,       1.20,      12.03,     42.16,          0.32
       -8,          1,    4,        -12.04,          3.50,       1.29,      12.87,     45.10,          0.31
       -8,          1,    5,        -11.58,          3.50,       1.37,      13.64,     47.78,          0.30
       -8,          1,    6,        -11.33,          3.50,       1.44,      14.41,     50.48,          0.29
       -8,          1,    7,        -11.11,          3.50,       1.52,      15.15,     53.06,          0.28
       -8,          2,    1,        -15.18,          3.50,       1.00,      10.01,     35.07,          0.30
       -8,          2,    2,        -12.85,          3.50,       1.14,      11.39,     39.90,          0.35
       -8,          2,    3,        -11.88,          3.50,       1.24,      12.38,     43.37,          0.35
       -8,          2,    4,        -11.36,          3.50,       1.33,      13.29,     46.56,          0.34
       -8,          2,    5,        -10.96,          3.50,       1.41,      14.16,     49.62,          0.32
       -8,          2,    6,        -10.67,          3.50,       1.50,      14.97,     52.45,          0.31
       -8,          2,    7,        -10.40,          3.50,       1.58,      15.77,     55.26,          0.30
       -8,          3,    1,        -14.62,          3.50,       1.03,      10.26,     35.94,          0.31
       -8,          3,    2,        -12.36,          3.50,       1.18,      11.79,     41.32,          0.35
       -8,          3,    3,        -11.43,          3.50,       1.30,      13.00,     45.55,          0.35
       -8,          3,    4,        -10.54,          3.50,       1.40,      13.98,     48.97,          0.36
       -8,          3,    5,        -10.08,          3.50,       1.50,      15.00,     52.55,          0.35
       -8,          3,    6,         -9.73,          3.50,       1.59,      15.91,     55.74,          0.34
       -8,          3,    7,         -9.45,          3.50,       1.67,      16.75,     58.68,          0.33
       -8,          4,    1,        -14.14,          3.50,       1.05,      10.56,     36.99,          0.32
       -8,          4,    2,        -11.63,          3.50,       1.23,      12.34,     43.22,          0.37
       -8,          4,    3,        -10.55,          3.50,       1.37,      13.66,     47.85,          0.38
       -8,          4,    4,         -9.88,          3.50,       1.48,      14.83,     51.95,          0.38
       -8,          4,    5,         -9.45,          3.50,       1.58,      15.84,     55.48,          0.37
       -8,          4,    6,         -9.14,          3.50,       1.67,      16.72,     58.58,          0.36
       -8,          4,    7,         -8.90,          3.50,       1.75,      17.55,     61.49,          0.35
