[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.06,          3.50,       0.95,       9.52,     33.37,          0.24
       -9,          1,    2,        -14.53,          3.50,       1.07,      10.73,     37.60,          0.28
       -9,          1,    3,        -13.62,          3.50,       1.17,      11.63,     40.75,          0.28
       -9,          1,    4,        -13.11,          3.50,       1.24,      12.45,     43.62,          0.26
       -9,          1,    5,        -12.77,          3.50,       1.32,      13.25,     46.43,          0.25
       -9,          1,    6,        -12.50,          3.50,       1.39,      13.95,     48.87,          0.24
       -9,          1,    7,        -12.27,          3.50,       1.47,      14.71,     51.55,          0.22
       -9,          2,    1,        -16.45,          3.50,       0.97,       9.70,     33.99,          0.25
       -9,          2,    2,        -14.05,          3.50,       1.10,      10.96,     38.39,          0.29
       -9,          2,    3,        -13.14,          3.50,       1.19,      11.94,     41.83,          0.29
       -9,          2,    4,        -12.59,          3.50,       1.28,      12.81,     44.87,          0.28
       -9,          2,    5,        -12.18,          3.50,       1.37,      13.68,     47.95,          0.26
       -9,          2,    6,        -11.88,          3.50,       1.44,      14.46,     50.65,          0.25
       -9,          2,    7,        -11.59,          3.50,       1.53,      15.27,     53.49,          0.24
       -9,          3,    1,        -15.91,          3.50,       0.99,       9.94,     34.82,          0.26
       -9,          3,    2,        -13.47,          3.50,       1.13,      11.32,     39.68,          0.30
       -9,          3,    3,        -12.44,          3.50,       1.25,      12.46,     43.67,          0.30
       -9,          3,    4,        -11.80,          3.50,       1.34,      13.45,     47.13,          0.30
       -9,          3,    5,        -11.31,          3.50,       1.44,      14.40,     50.47,          0.29
       -9,          3,    6,        -10.96,          3.50,       1.53,      15.27,     53.50,          0.28
       -9,          3,    7,        -10.66,          3.50,       1.61,      16.12,     56.46,          0.27
       -9,          4,    1,        -15.44,          3.50,       1.02,      10.16,     35.61,          0.27
       -9,          4,    2,        -12.91,          3.50,       1.18,      11.80,     41.35,          0.31
       -9,          4,    3,        -12.10,          3.50,       1.31,      13.06,     45.77,          0.29
       -9,          4,    4,        -11.15,          3.50,       1.41,      14.09,     49.37,          0.31
       -9,          4,    5,        -10.70,          3.50,       1.51,      15.11,     52.93,          0.30
       -9,          4,    6,        -10.52,          3.50,       1.60,      15.96,     55.93,          0.29
       -9,          4,    7,        -10.13,          3.50,       1.68,      16.78,     58.78,          0.29
       -8,          1,    1,        -15.79,          3.50,       0.98,       9.79,     34.32,          0.28
       -8,          1,    2,        -13.26,          3.50,       1.11,      11.10,     38.90,          0.34
       -8,          1,    3,        -12.39,          3.50,       1.20,      12.04,     42.19,          0.34
       -8,          1,    4,        -11.90,          3.50,       1.29,      12.86,     45.07,          0.32
       -8,          1,    5,        -11.58,          3.50,       1.36,      13.64,     47.77,          0.30
       -8,          1,    6,        -11.33,          3.50,       1.44,      14.39,     50.42,          0.29
       -8,          1,    7,        -11.30,          3.50,       1.52,      15.17,     53.15,          0.26
       -8,          2,    1,        -15.19,          3.50,       1.00,      10.03,     35.13,          0.30
       -8,          2,    2,        -12.78,          3.50,       1.14,      11.40,     39.96,          0.35
       -8,          2,    3,        -11.88,          3.50,       1.24,      12.37,     43.33,          0.35
       -8,          2,    4,        -11.36,          3.50,       1.33,      13.26,     46.45,          0.34
       -8,          2,    5,        -10.96,          3.50,       1.42,      14.18,     49.69,          0.32
