[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.08,          3.50,       0.95,       9.52,     33.38,          0.23
       -9,          1,    2,        -14.55,          3.50,       1.07,      10.69,     37.47,          0.28
       -9,          1,    3,        -13.65,          3.50,       1.17,      11.66,     40.86,          0.27
       -9,          1,    4,        -13.14,          3.50,       1.24,      12.44,     43.58,          0.26
       -9,          1,    5,        -12.79,          3.50,       1.32,      13.23,     46.37,          0.25
       -9,          1,    6,        -12.53,          3.50,       1.39,      13.94,     48.86,          0.23
       -9,          1,    7,        -12.30,          3.50,       1.47,      14.70,     51.53,          0.22
       -9,          2,    1,        -16.47,          3.50,       0.97,       9.70,     33.98,          0.25
       -9,          2,    2,        -14.34,          3.50,       1.10,      10.96,     38.42,          0.27
       -9,          2,    3,        -13.16,          3.50,       1.19,      11.91,     41.75,          0.29
       -9,          2,    4,        -12.61,          3.50,       1.28,      12.82,     44.90,          0.27
       -9,          2,    5,        -12.34,          3.50,       1.37,      13.66,     47.87,          0.25
       -9,          2,    6,        -12.00,          3.50,       1.45,      14.47,     50.68,          0.24
       -9,          2,    7,        -11.85,          3.50,       1.53,      15.25,     53.43,          0.23
       -9,          3,    1,        -15.92,          3.50,       0.99,       9.92,     34.75,          0.26
       -9,          3,    2,        -13.48,          3.50,       1.14,      11.37,     39.83,          0.30
       -9,          3,    3,        -12.45,          3.50,       1.24,      12.42,     43.54,          0.30
       -9,          3,    4,        -12.09,          3.50,       1.34,      13.44,     47.08,          0.28
       -9,          3,    5,        -11.33,          3.50,       1.44,      14.38,     50.37,          0.29
       -9,          3,    6,        -10.98,          3.50,       1.53,      15.24,     53.40,          0.28
       -9,          3,    7,        -10.68,          3.50,       1.61,      16.12,     56.48,          0.27
       -9,          4,    1,        -15.46,          3.50,       1.02,      10.16,     35.60,          0.26
       -9,          4,    2,        -12.93,          3.50,       1.18,      11.79,     41.30,          0.31
       -9,          4,    3,        -11.95,          3.50,       1.30,      13.06,     45.77,          0.30
       -9,          4,    4,        -11.15,          3.50,       1.41,      14.09,     49.35,          0.31
       -9,          4,    5,        -10.73,          3.50,       1.51,      15.07,     52.81,          0.30
       -9,          4,    6,        -10.41,          3.50,       1.60,      15.96,     55.91,          0.29
       -9,          4,    7,        -10.15,          3.50,       1.68,      16.80,     58.85,          0.28
       -8,          1,    1,        -16.12,          3.50,       0.98,       9.78,     34.27,          0.26
       -8,          1,    2,        -13.28,          3.50,       1.11,      11.11,     38.92,          0.34
       -8,          1,    3,        -12.41,          3.50,       1.20,      12.01,     42.07,          0.34
       -8,          1,    4,        -11.92,          3.50,       1.29,      12.86,     45.05,          0.32
       -8,          1,    5,        -11.60,          3.50,       1.36,      13.63,     47.74,          0.30
       -8,          1,    6,        -11.55,          3.50,       1.44,      14.40,     50.47,          0.27
       -8,          1,    7,        -11.13,          3.50,       1.51,      15.11,     52.94,          0.28
       -8,          2,    1,        -15.19,          3.50,       1.00,       9.98,     34.96,          0.30
       -8,          2,    2,        -12.80,          3.50,       1.14,      11.36,     39.80,          0.35
       -8,          2,    3,        -11.90,          3.50,       1.24,      12.38,     43.39,          0.35
       -8,          2,    4,        -11.38,          3.50,       1.33,      13.28,     46.52,          0.34
       -8,          2,    5,        -10.98,          3.50,       1.41,      14.10,     49.41,          0.32
       -8,          2,    6,        -10.70,          3.50,       1.50,      14.98,     52.50,          0.31
       -8,          2,    7,        -10.43,          3.50,       1.58,      15.75,     55.20,          0.30
       -8,          3,    1,        -14.64,          3.50,       1.03,      10.25,     35.92,          0.31
       -8,          3,    2,        -12.20,          3.50,       1.18,      11.79,     41.30,          0.37
       -8,          3,    3,        -11.19,          3.50,       1.30,      12.98,     45.47,          0.37
       -8,          3,    4,        -10.57,          3.50,       1.40,      14.00,     49.04,          0.36
       -8,          3,    5,        -10.39,          3.50,       1.50,      15.00,     52.55,          0.33
       -8,          3,    6,         -9.76,          3.50,       1.59,      15.88,     55.63,          0.34
       -8,          3,    7,         -9.47,          3.50,       1.67,      16.73,     58.62,          0.33
       -8,          4,    1,        -14.15,          3.50,       1.06,      10.55,     36.95,          0.32
       -8,          4,    2,        -11.64,          3.50,       1.23,      12.31,     43.12,          0.38
       -8,          4,    3,        -10.80,          3.50,       1.37,      13.65,     47.83,          0.36
       -8,          4,    4,         -9.89,          3.50,       1.48,      14.81,     51.89,          0.38
       -8,          4,    5,         -9.47,          3.50,       1.58,      15.77,     55.26,          0.37
       -8,          4,    6,         -9.15,          3.50,       1.67,      16.71,     58.53,          0.36
       -8,          4,    7,         -8.92,          3.50,       1.75,      17.50,     61.30,          0.35
       -7,          1,    1,        -14.72,          3.50,       1.00,      10.05,     35.20,          0.33
       -7,          1,    2,        -12.20,          3.50,       1.14,      11.46,     40.16,          0.39
       -7,          1,    3,        -11.34,          3.50,       1.24,      12.40,     43.44,          0.40
       -7,          1,    4,        -10.87,          3.50,       1.32,      13.23,     46.35,          0.38
       -7,          1,    5,        -10.57,          3.50,       1.40,      14.04,     49.20,          0.36
       -7,          1,    6,        -10.57,          3.50,       1.48,      14.81,     51.91,          0.32
       -7,          1,    7,        -10.38,          3.50,       1.56,      15.56,     54.51,          0.31
       -7,          2,    1,        -14.26,          3.50,       1.03,      10.28,     36.01,          0.34
       -7,          2,    2,        -11.73,          3.50,       1.18,      11.76,     41.22,          0.41
       -7,          2,    3,        -10.82,          3.50,       1.28,      12.81,     44.89,          0.41
       -7,          2,    4,        -10.31,          3.50,       1.37,      13.69,     47.96,          0.40
       -7,          2,    5,         -9.93,          3.50,       1.47,      14.63,     51.24,          0.39
       -7,          2,    6,         -9.64,          3.50,       1.54,      15.46,     54.16,          0.37
       -7,          2,    7,         -9.70,          3.50,       1.63,      16.28,     57.04,          0.33
       -7,          3,    1,        -13.82,          3.50,       1.06,      10.58,     37.08,          0.34
       -7,          3,    2,        -11.10,          3.50,       1.22,      12.23,     42.85,          0.43
       -7,          3,    3,        -10.39,          3.50,       1.35,      13.48,     47.24,          0.41
       -7,          3,    4,         -9.49,          3.50,       1.45,      14.57,     51.07,          0.43
       -7,          3,    5,         -9.04,          3.50,       1.56,      15.57,     54.55,          0.42
       -7,          3,    6,         -8.95,          3.50,       1.65,      16.53,     57.92,          0.38
       -7,          3,    7,         -8.43,          3.50,       1.73,      17.35,     60.76,          0.40
       -7,          4,    1,        -13.05,          3.50,       1.10,      10.95,     38.35,          0.36
       -7,          4,    2,        -10.54,          3.50,       1.29,      12.87,     45.09,          0.43
       -7,          4,    3,         -9.47,          3.50,       1.43,      14.26,     49.95,          0.45
       -7,          4,    4,         -8.81,          3.50,       1.55,      15.47,     54.19,          0.45
       -7,          4,    5,         -8.40,          3.50,       1.65,      16.50,     57.82,          0.44
       -7,          4,    6,         -8.09,          3.50,       1.74,      17.39,     60.93,          0.43
       -7,          4,    7,         -7.86,          3.50,       1.83,      18.30,     64.12,          0.42
       -6,          1,    1,        -13.75,          3.50,       1.03,      10.29,     36.05,          0.38
       -6,          1,    2,        -11.22,          3.50,       1.18,      11.79,     41.31,          0.46
       -6,          1,    3,        -10.38,          3.50,       1.28,      12.81,     44.88,          0.46
       -6,          1,    4,         -9.93,          3.50,       1.36,      13.65,     47.82,          0.44
       -6,          1,    5,         -9.62,          3.50,       1.45,      14.49,     50.77,          0.42
       -6,          1,    6,         -9.65,          3.50,       1.53,      15.27,     53.51,          0.38
       -6,          1,    7,         -9.20,          3.50,       1.60,      16.01,     56.11,          0.39
       -6,          2,    1,        -13.11,          3.50,       1.06,      10.58,     37.09,          0.40
       -6,          2,    2,        -10.81,          3.50,       1.22,      12.16,     42.62,          0.47
       -6,          2,    3,         -9.85,          3.50,       1.32,      13.26,     46.43,          0.48
       -6,          2,    4,         -9.35,          3.50,       1.42,      14.19,     49.71,          0.47
       -6,          2,    5,         -8.98,          3.50,       1.51,      15.12,     53.00,          0.45
       -6,          2,    6,         -8.70,          3.50,       1.60,      15.95,     55.88,          0.44
       -6,          2,    7,         -8.46,          3.50,       1.68,      16.77,     58.76,          0.42
       -6,          3,    1,        -12.53,          3.50,       1.09,      10.97,     38.43,          0.41
       -6,          3,    2,        -10.11,          3.50,       1.27,      12.72,     44.57,          0.49
       -6,          3,    3,         -9.12,          3.50,       1.40,      14.01,     49.08,          0.50
       -6,          3,    4,         -8.54,          3.50,       1.51,      15.12,     52.99,          0.50
       -6,          3,    5,         -8.15,          3.50,       1.62,      16.22,     56.82,          0.48
       -6,          3,    6,         -7.75,          3.50,       1.71,      17.09,     59.87,          0.48
