[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.11,          3.50,       0.95,       9.52,     33.37,          0.23
       -9,          1,    2,        -14.58,          3.50,       1.07,      10.71,     37.52,          0.28
       -9,          1,    3,        -13.68,          3.50,       1.16,      11.65,     40.81,          0.27
       -9,          1,    4,        -13.17,          3.50,       1.24,      12.43,     43.54,          0.26
       -9,          1,    5,        -12.83,          3.50,       1.32,      13.24,     46.38,          0.24
       -9,          1,    6,        -12.56,          3.50,       1.40,      13.95,     48.88,          0.23
       -9,          1,    7,        -12.32,          3.50,       1.47,      14.72,     51.59,          0.22
       -9,          2,    1,        -16.56,          3.50,       0.97,       9.70,     33.98,          0.24
       -9,          2,    2,        -14.11,          3.50,       1.09,      10.93,     38.31,          0.29
       -9,          2,    3,        -13.19,          3.50,       1.20,      11.96,     41.89,          0.28
       -9,          2,    4,        -12.65,          3.50,       1.28,      12.81,     44.90,          0.27
       -9,          2,    5,        -12.23,          3.50,       1.37,      13.65,     47.83,          0.26
       -9,          2,    6,        -11.93,          3.50,       1.45,      14.45,     50.62,          0.25
       -9,          2,    7,        -11.64,          3.50,       1.53,      15.26,     53.47,          0.24
       -9,          3,    1,        -15.96,          3.50,       0.99,       9.92,     34.77,          0.26
       -9,          3,    2,        -13.52,          3.50,       1.14,      11.36,     39.80,          0.30
       -9,          3,    3,        -12.48,          3.50,       1.25,      12.44,     43.58,          0.30
       -9,          3,    4,        -11.84,          3.50,       1.35,      13.44,     47.11,          0.29
       -9,          3,    5,        -11.36,          3.50,       1.44,      14.40,     50.46,          0.29
       -9,          3,    6,        -10.99,          3.50,       1.53,      15.28,     53.53,          0.28
       -9,          3,    7,        -10.70,          3.50,       1.61,      16.12,     56.47,          0.27
       -9,          4,    1,        -15.50,          3.50,       1.02,      10.17,     35.65,          0.26
       -9,          4,    2,        -12.96,          3.50,       1.18,      11.80,     41.35,          0.30
       -9,          4,    3,        -12.12,          3.50,       1.31,      13.07,     45.80,          0.29
       -9,          4,    4,        -11.18,          3.50,       1.41,      14.15,     49.57,          0.31
