[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.02,          3.50,       0.95,       9.52,     33.36,          0.24
       -9,          1,    2,        -14.49,          3.50,       1.07,      10.69,     37.47,          0.28
       -9,          1,    3,        -13.60,          3.50,       1.16,      11.63,     40.73,          0.28
       -9,          1,    4,        -13.09,          3.50,       1.24,      12.45,     43.61,          0.26
       -9,          1,    5,        -12.87,          3.50,       1.32,      13.24,     46.38,          0.24
       -9,          1,    6,        -12.49,          3.50,       1.39,      13.93,     48.82,          0.24
       -9,          1,    7,        -12.25,          3.50,       1.47,      14.73,     51.61,          0.22
       -9,          2,    1,        -16.41,          3.50,       0.97,       9.71,     34.02,          0.25
       -9,          2,    2,        -14.02,          3.50,       1.09,      10.93,     38.31,          0.29
       -9,          2,    3,        -13.11,          3.50,       1.19,      11.91,     41.72,          0.29
       -9,          2,    4,        -12.57,          3.50,       1.28,      12.79,     44.83,          0.28
       -9,          2,    5,        -12.16,          3.50,       1.36,      13.64,     47.78,          0.26
       -9,          2,    6,        -11.86,          3.50,       1.44,      14.45,     50.63,          0.25
       -9,          2,    7,        -11.57,          3.50,       1.52,      15.25,     53.42,          0.24
       -9,          3,    1,        -15.87,          3.50,       0.99,       9.92,     34.78,          0.26
       -9,          3,    2,        -13.43,          3.50,       1.13,      11.34,     39.73,          0.30
       -9,          3,    3,        -12.41,          3.50,       1.24,      12.40,     43.44,          0.31
       -9,          3,    4,        -11.77,          3.50,       1.34,      13.43,     47.06,          0.30
       -9,          3,    5,        -11.28,          3.50,       1.44,      14.37,     50.37,          0.29
       -9,          3,    6,        -10.94,          3.50,       1.52,      15.24,     53.38,          0.28
       -9,          3,    7,        -10.63,          3.50,       1.61,      16.10,     56.40,          0.27
       -9,          4,    1,        -15.42,          3.50,       1.02,      10.15,     35.58,          0.27
       -9,          4,    2,        -12.88,          3.50,       1.18,      11.76,     41.22,          0.31
       -9,          4,    3,        -11.79,          3.50,       1.30,      13.04,     45.69,          0.32
       -9,          4,    4,        -11.11,          3.50,       1.41,      14.12,     49.47,          0.31
