[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -9,          1,    1,        -17.07,          3.50,       0.95,       9.51,     33.32,          0.23
       -9,          1,    2,        -14.54,          3.50,       1.07,      10.70,     37.49,          0.28
       -9,          1,    3,        -13.64,          3.50,       1.17,      11.66,     40.85,          0.27
       -9,          1,    4,        -13.13,          3.50,       1.24,      12.44,     43.58,          0.26
       -9,          1,    5,        -12.78,          3.50,       1.32,      13.23,     46.35,          0.25
       -9,          1,    6,        -12.77,          3.50,       1.39,      13.92,     48.79,          0.22
       -9,          1,    7,        -12.28,          3.50,       1.47,      14.71,     51.53,          0.22
       -9,          2,    1,        -16.51,          3.50,       0.97,       9.71,     34.02,          0.25
       -9,          2,    2,        -14.07,          3.50,       1.10,      10.98,     38.50,          0.29
       -9,          2,    3,        -13.15,          3.50,       1.19,      11.93,     41.83,          0.29
       -9,          2,    4,        -12.61,          3.50,       1.28,      12.81,     44.90,          0.28
       -9,          2,    5,        -12.19,          3.50,       1.37,      13.65,     47.82,          0.26
       -9,          2,    6,        -11.89,          3.50,       1.44,      14.46,     50.68,          0.25
       -9,          2,    7,        -11.60,          3.50,       1.53,      15.26,     53.47,          0.24
       -9,          3,    1,        -15.91,          3.50,       0.99,       9.94,     34.81,          0.26
       -9,          3,    2,        -13.47,          3.50,       1.14,      11.36,     39.80,          0.30
       -9,          3,    3,        -12.45,          3.50,       1.25,      12.46,     43.66,          0.30
       -9,          3,    4,        -11.80,          3.50,       1.34,      13.44,     47.09,          0.30
       -9,          3,    5,        -11.33,          3.50,       1.44,      14.40,     50.47,          0.29
       -9,          3,    6,        -10.97,          3.50,       1.53,      15.28,     53.55,          0.28
       -9,          3,    7,        -10.67,          3.50,       1.61,      16.10,     56.43,          0.27
       -9,          4,    1,        -15.45,          3.50,       1.02,      10.19,     35.72,          0.26
       -9,          4,    2,        -13.10,          3.50,       1.18,      11.81,     41.37,          0.30
